Sr. No.,Crime Heads,Current Month 01.04.2018 To 30.04.,2018,Previous Month 01.03.2018 To 31.03.,2018,Current Year 01.01.2018 To 30.04.,2018,% of Detec- tion,Previous Year 01.01.2017 To 30.04.2017 R D,% of Detec- tion,Difference In Reg.
,,R,D,R,D,R,D,,,,
1,Murder,19,16,12,12,47,43,91,44 41,93,+ 3
2,Att.to.C.Murder,25,23,20,17,92,89,97,63 58,92,+ 29
3,Dacoity,4,3,6,5,14,12,86,9 9,100,+ 5
4,Robbery (Excluding Chain Snatching),69,48,90,67,325,260,80,257 181,70,+ 68
5,Robbery -Chain Snatching,7,3,11,3,38,21,55,53 22,42 -,15
6,Extortion,13,10,23,18,77,65,84,47 35,74,+ 30
7,H.B.T.Day / Night,169,41,197,42,767,291,38,764 270,35,+ 3
8,Thefts,569,110,548,112,"2,186",613,28,"2,229 532",24 -,43
9,M.V.Thefts.,262,33,301,50,"1,202",365,30,942 221,23 +,+ 260
10,Hurt,431,319,501,358,"1,794","1,497",83,"1,544 1,252",81 +,250
11,Riots.,37,21,53,39,240,170,71,141 105,74 +,99
12,Rape,72,57,67,50,282,239,85,213 171,80 +,69
13,Molestaion,231,165,236,165,914,705,77,710 522,74 +,204
14,Other I.P.C.,"1,364",679,"1,525",828,"5,726","3,405",59,"5,176 2,946",57 +,550
,Total,"3,272","1,528","3,590","1,766","13,704","7,775",57,"12,192 6,365",52 +,"1,512"
