,TAMPERING OF SOURCE CODE,,,,HACKING,,,,PHISHING/HACKING /NIGERIAN FRAUD,,,,OBSCENE EMAIL/SMS/MMS,,,,THREATENING EMAIL/SMS,,,,CREDIT CARD FRAUD/ CHEATING,,,,OTHER,,,,TOTAL,,,
,01/01/2018 to 31/07/,2018,01/01/2017 to 31/07/,2017,01/01/2018 to 31/07/,2018,01/01/2017 to 31/07/,2017,01/01/2018 to 31/07/,2018,01/01/2017 to 31/07/,2017,01/01/2018 to 31/07/,2018,01/01/2017 to 31/07/,2017,01/01/2018 to 31/07/,2018,01/01/2017 to 31/07/,2017,01/01/2018 to 31/07/,2018,01/01/2017 to 31/07/,2017,01/01/2018 to 31/07/,2018,01/01/2017 to 31/07/,2017,01/01/2018 to 31/07/,2018,01/01/2017 to 31/07/,2017
,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D
MUMBAI,5,:unselected:,7,,16,2,2,,2,,3,1,167,53,130,27,9,3,3,,339,9,393,35,317,44,270,21,855,111,808,84
