Mumbai City,TOTAL CASES ON BROTHELS,,,WOMEN RESCUED,,,,,,ACCUSED ARRESTED,,
,,,,MAJOR,,,MINOR,,,,,
,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR
,01/07/2018 to 31/07/2018,01/01/2018 to 31/07/2018,01/01/2017 to 31/07/2017,01/07/2018 to 31/07/2018,01/01/2018 to 31/07/2018,01/01/2017 to 31/07/2017,01/07/2018 to 31/07/2018,01/01/2018 to 31/07/2018,01/01/2017 to 31/07/2017,01/07/2018 to 31/07/2018,01/01/2018 to 31/07/2018,01/01/2017 to 31/07/2017
TOTAL,2,25,8,5,73,37,,7,1,5,43,17
