Mumbai City,TOTAL CASES ON BROTHELS,,,WOMEN RESCUED,,,,,,ACCUSED ARRESTED,,
,,,,MAJOR,,,MINOR,,,,,
,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR
,01/09/2018 to 30/09/2018,01/01/2018 to 30/09/2018,01/01/2017 to 30/09/2017,01/09/2018 to 30/09/2018,01/01/2018 to 30/09/2018,01/01/2017 to 30/09/2017,01/09/2018 to 30/09/2018,01/01/2018 to 30/09/2018,01/01/2017 to 30/09/2017,01/09/2018 to 30/09/2018,01/01/2018 to 30/09/2018,01/01/2017 to 30/09/2017
TOTAL,4,37,14,17,102,49,,11,1,7,61,29
