,TOTAL CASES ON BROTHELS,,,WOMEN RESCUED,,,,,,ACCUSED ARRESTED,,
,,,,MAJOR,,,MINOR,,,,,
,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR
,01/01/2018 to 28/02/2018,01/01/2018 to 28/02/2018,01/01/2017 to 28/02/2017,01/01/2018 to 28/02/2018,01/01/2018 to 28/02/2018,01/01/2017 to 28/02/2017,01/01/2018 to 28/02/2018,01/01/2018 to 28/02/2018,01/01/2017 to 28/02/2017,01/01/2018 to 28/02/2018,01/01/2018 to 28/02/2018,01/01/2017 to 28/02/2017
TOTAL,3,9,5,5,30,22,,,1,4,10,12
