Sr. No.,Crime Heads,Current Month 01.02.2018 To,,Previous Month 01.01.2018 To,,Current Year 01.01.2018 To,,% of Detec- tion,Previous Year 01.01.2017 To,,% of Detec- tion,Difference In Reg.
,,28.02.2018,,31.01.2018,,28.02.2018,,,28.02.2017,,,
,,R,D,R,D,R,D,,R,D,,
1,Murder,7,6,10,9,16,14,88,24,21,88,- 8
2,Att.to.C.Murder,20,18,23,21,43,41,95,25,24,96,+ 18
3,Dacoity,2,2,1,0,3,3,100,2,2,100,+ 1
4,Robbery (Excluding Chain Snatching),79,55,88,65,167,125,75,117,75,64,+ 50
5,Robbery -Chain Snatching,10,3,10,5,20,8,40,21,11,52,- 1
6,Extortion,21,15,20,16,41,32,78,14,11,79,+ 27
7,H.B.T.Day / Night,181,38,220,73,400,136,34,385,115,30,+ 15
8,Thefts,530,111,539,144,"1,070",276,26,"1,056",248,23,+ 14
9,M.V.Thefts.,295,52,344,53,639,156,24,494,106,21,+ 145
10,Hurt,385,276,481,361,866,680,79,717,555,77,+ 149
11,Riots.,46,27,101,60,148,97,66,64,40,63,+ 84
12,Rape,57,37,64,49,126,97,77,78,62,79,+ 48
13,Molestaion,207,142,240,164,446,322,72,364,252,69,+ 82
14,Other I.P.C.,"1,377",681,"1,484",766,"2,857","1,564",55,"2,386","1,271",53,+ 471
,Total,"3,217","1,463","3,625","1,786","6,842","3,551",52,"5,747","2,793",49,"+ 1,095"
