,TAMPERING OF SOURCE CODE,,,,HACKING,,,,PHISHING/HACKING /NIGERIAN FRAUD,,,,OBSCENE EMAIL/SMS/MMS,,,,THREATENING EMAIL/SMS,,,,CREDIT CARD FRAUD/ CHEATING,,,,OTHER,,,,TOTAL,,,
,01/01/2018 to 31/08/,2018,01/01/2017 to 31/08/,2017,01/01/2018 to 31/08/,2018,01/01/2017 to 31/08/,2017,01/01/2018 to 31/08/,2018,01/01/2017 to 31/08/,2017,01/01/2018 to 31/08/,2018,01/01/2017 to 31/08/,2017,01/01/2018 to 31/08/,2018,01/01/2017 to 31/08/,2017,01/01/2018 to 31/08/,2018,01/01/2017 to 31/08/,2017,01/01/2018 to 31/08/,2018,01/01/2017 to 31/08/,2017,01/01/2018 to 31/08/,2018,01/01/2017 to 31/08/,2017
,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D
MUMBAI,5,1,11,,18,2,3,,2,,4,1,195,62,146,27,9,3,4,,358,9,447,21,349,50,309,22,936,127,924,71
