Sr. No.,Crime Heads,Current Month 01.08.2018 To,,Previous Month 01.07.2018 To,,Current Year 01.01.2018 To,,% of Detec- tion,Previous Year 01.01.2017 To,,% of Detec- tion,,Difference In Reg.
,,31.08.2018,,31.07.2018,,31.08.2018,,,31.08.2017,,,,
,,R,D,R,D,R,D,,R,D,,,
1,Murder,9,9,13,11,108,103,95,86,81,94,+,22
2,Att.to.C.Murder,27,27,15,13,174,169,97,126,121,96,+,48
3,Dacoity,2,2,2,2,26,25,96,20,20,100,+,6
4,Robbery (Excluding Chain Snatching),85,69,78,60,625,536,86,551,438,79,+,74
5,Robbery -Chain Snatching,19,7,9,4,93,49,53,123,68,55,-,30
6,Extortion,27,20,17,10,156,129,83,118,93,79,+,38
7,H.B.T.Day / Night,207,52,203,46,"1,496",667,45,"1,536",632,41,-,40
8,Thefts,539,126,502,136,"4,167","1,416",34,"4,347","1,243",29,-,180
9,M.V.Thefts.,230,37,217,34,"2,129",786,37,"1,916",564,29,+,213
10,Hurt,394,277,380,291,"3,403","3,046",90,"3,033","2,626",87,+,370
11,Riots.,44,38,26,21,398,332,83,289,238,82,+,109
12,Rape,62,51,74,62,585,536,92,472,408,86,+,113
13,Molestaion,198,137,171,114,"1,661","1,306",79,"1,445","1,106",77,+,216
14,Other I.P.C.,"1,415",822,"1,256",746,"10,910","7,213",66,"10,557","6,800",64,+,353
,Total,"3,258","1,674","2,963","1,550","25,931","16,313",63,"24,619","14,438",59,+,"1,312"
