crime_code,crime_name,month_end_date,registered
1,Murder,2017-01-01,4441
2,Att.to.C.Murder,2017-01-01,6358
3,Dacoity,2017-01-01,99
4,Robbery (Excluding Chain Snatching),2017-01-01,257181
5,Robbery -Chain Snatching,2017-01-01,5322
6,Extortion,2017-01-01,4735
7,H.B.T.Day / Night,2017-01-01,764270
8,Thefts,2017-01-01,2229532
9,M.V.Thefts.,2017-01-01,942221
10,Hurt,2017-01-01,15441252
11,Riots.,2017-01-01,141105
12,Rape,2017-01-01,213171
13,Molestaion,2017-01-01,710522
14,Other I.P.C.,2017-01-01,51762946
