crime_code,crime_name,month_end_date,detected,registered
1,Murder,2018-05-31,14,16
2,Att.to.C.Murder,2018-05-31,16,18
3,Dacoity,2018-05-31,3,4
4,Robbery (Excluding Chain Snatching),2018-05-31,43,71
5,Robbery -Chain Snatching,2018-05-31,4,14
6,Extortion,2018-05-31,9,16
7,H.B.T.Day / Night,2018-05-31,34,165
8,Thefts,2018-05-31,115,492
9,M.V.Thefts.,2018-05-31,53,248
10,Hurt,2018-05-31,320,428
11,Riots.,2018-05-31,29,44
12,Rape,2018-05-31,45,60
13,Molestaion,2018-05-31,136,206
14,Other I.P.C.,2018-05-31,646,1275
1,Murder,2018-06-30,18,21
2,Att.to.C.Murder,2018-06-30,21,22
3,Dacoity,2018-06-30,1,1
4,Robbery (Excluding Chain Snatching),2018-06-30,55,70
5,Robbery -Chain Snatching,2018-06-30,2,13
6,Extortion,2018-06-30,12,17
7,H.B.T.Day / Night,2018-06-30,31,154
8,Thefts,2018-06-30,112,449
9,M.V.Thefts.,2018-06-30,25,232
10,Hurt,2018-06-30,302,409
11,Riots.,2018-06-30,25,41
12,Rape,2018-06-30,37,55
13,Molestaion,2018-06-30,108,175
14,Other I.P.C.,2018-06-30,609,1290
