Mumbai City,TOTAL CASES ON BROTHELS,,,WOMEN RESCUED,,,,,,ACCUSED ARRESTED,,
,,,,MAJOR,,,MINOR,,,,,
,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR
,01/06/2018 to 30/06/2018,01/01/2018 to 30/06/2018,01/01/2017 to 30/06/2017,01/06/2018 to 30/06/2018,01/01/2018 to 30/06/2018,01/01/2017 to 30/06/2017,01/06/2018 to 30/06/2018,01/01/2018 to 30/06/2018,01/01/2017 to 30/06/2017,01/06/2018 to 30/06/2018,01/01/2018 to 30/06/2018,01/01/2017 to 30/06/2017
TOTAL,2,23,8,3,68,37,2,7,1,6,38,17
