,HEAD,Current Month,,Previous Month,,Current Year,,% of,Previous Year,,Difference in Registration,Property Involved
,,01.06.2018 To 30.06.,2018,01.05.2018 To 31.05.,2018,01.01.2018 To 30.06.,2018,Detec- tion,01.01.2017 To 30.06.,2017,,01.01.2017 To 31.05.2017
,,,,,,,,,,,,
,,R D,,R D,,R D,,,R D,,,(Rs.)
,T O T A L,7,7,7,7,62,62,100,58,58,4,25933028705
