Sr. No.,Crime Heads,Current Month 01.03.2018 To,,Previous Month 01.02.2018 To,,Current Year 01.01.2018 To,,% of Detec- tion,Previous Year 01.01.2017 To,,% of Detec- tion,Difference In Reg.
,,31.03.2018,,28.02.2018,,31.03.2018,,,31.03.2017,,,
,,R,D,R,D,R,D,,R,D,,
1,Murder,12,12,7,6,28,27,96,35,32,91,- 7
2,Att.to.C.Murder,20,17,20,18,63,59,94,47,43,91,+ 16
3,Dacoity,6,5,2,2,10,9,90,4,4,100,+ 6
4,Robbery (Excluding Chain Snatching),90,67,79,55,256,202,79,194,129,66,+ 62
5,Robbery -Chain Snatching,11,3,10,3,31,13,42,37,16,43,- 6
6,Extortion,23,18,21,15,64,52,81,35,28,80,+ 29
7,H.B.T.Day / Night,197,42,181,38,597,209,35,582,189,32,+ 15
8,Thefts,548,112,530,111,"1,618",440,27,"1,663",389,23,- 45
9,M.V.Thefts.,301,50,295,52,940,269,29,719,169,24,+ 221
10,Hurt,501,358,385,276,"1,367","1,102",81,"1,165",918,79,+ 202
11,Riots.,53,39,46,27,201,142,71,108,83,77,+ 93
12,Rape,67,50,57,37,201,163,81,150,118,79,+ 51
13,Molestaion,236,165,207,142,682,515,76,572,409,72,+ 110
14,Other I.P.C.,"1,525",828,"1,377",681,"4,374","2,560",59,"3,791","2,127",56,+ 583
,Total,"3,590","1,766","3,217","1,463","10,432","5,762",55,"9,102","4,654",51,"+ 1,330"
