,TAMPERING OF SOURCE CODE,,,,HACKING,,,,PHISHING/HACKING /NIGERIAN FRAUD,,,,OBSCENE EMAIL/SMS/MMS,,,,THREATENING EMAIL/SMS,,,,CREDIT CARD FRAUD/ CHEATING,,,,OTHER,,,,TOTAL,,,
,01/01/2018 to 31/03/,2018,01/01/2017 to 31/03/,2017,01/01/2018 to 31/03/,2018,01/01/2017 to 31/03/,2017,01/01/2018 to 31/03/,2018,01/01/2017 to 31/03/,2017,01/01/2018 to 31/03/,2018,01/01/2017 to 31/03/,2017,01/01/2018 to 31/03/,2018,01/01/2017 to 31/03/,2017,01/01/2018 to 31/03/,2018,01/01/2017 to 31/03/,2017,01/01/2018 to 31/03/,2018,01/01/2017 to 31/03/,2017,01/01/2018 to 31/03/,2018,01/01/2017 to 31/03/,2017
,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D
MUMBAI,3,,4,,5,1,1,,,,2,,85,20,52,8,2,1,2,1,139,2,131,8,173,11,99,9,407,35,291,26
