,TOTAL CASES ON BROTHELS,,,WOMEN RESCUED,,,,,,ACCUSED ARRESTED,,
,,,,MAJOR,,,MINOR,,,,,
,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR
,01/01/2018 to 31/01/2018,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017,01/01/2018 to 31/01/2018,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017,01/01/2018 to 31/01/2018,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017,01/01/2018 to 31/01/2018,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017
TOTAL,6,6,3,25,25,12,,,1,6,6,4
