,TAMPERING OF SOURCE CODE,,HACKING,,PHISHING/HACKING /NIGERIAN FRAUD,,OBSCENE EMAIL/SMS/MMS,,THREATENING EMAIL/SMS,,CREDIT CARD FRAUD/ CHEATING,,OTHER,,TOTAL,
,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017,01/01/2018 to 31/01/2018,01/01/2017 to 31/01/2017
