source_pdf,source_current_month,source_previous_month,source_current_year,source_previous_year,,TOTAL CASES ON BROTHELS CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,WOMEN RESCUED MAJOR CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,MINOR CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,ACCUSED ARRESTED CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR
1,01-2018,12-2017,01-2018,01-2017,TOTAL,6,6,3,25,25,12,,,1,6,6,4
2,02-2018,12-2017,02-2018,02-2017,TOTAL,3,9,5,5,30,22,,,1,4,10,12
