source_pdf,source_current_month,source_previous_month,source_current_year,source_previous_year,,Heroin Curr.Year Cas es,P. A,Qt y Kg,Gram,Mili Gram,Val ue,Charas Curr.Year Cas es,P. A,Qt y Kg,Gram,Mili Gram,Val ue,Cocaine Curr.Year Cas es,P. A,Qt y Kg,Gram,Mili Gram,Val ue,Ganja Curr.Year Cas es,P. A,Qt y Kg,Gram,Mili Gram,Val ue
1,,,,,MUMBAI,1,1,,272,,2720000,2,2,2,500,,875000,3,3,,225,,1110000,8,9,142,1848,,2552030
2,,,,,MUMBAI,5,6,,570,119,5575100,4,4,4,220,,1127000,5,5,,260,,2400000,19,20,152,217,,2618230
