,TAMPERING OF SOURCE CODE,,,,HACKING,,,,PHISHING/HACKING /NIGERIAN FRAUD,,,,OBSCENE EMAIL/SMS/MMS,,,,THREATENING EMAIL/SMS,,,,CREDIT CARD FRAUD/ CHEATING,,,,OTHER,,,,TOTAL,,,
,01/01/2018 to 31/05/,2018,01/01/2017 to 31/05/,2017,01/01/2018 to 31/05/,2018,01/01/2017 to 31/05/,2017,01/01/2018 to 31/05/,2018,01/01/2017 to 31/05/,2017,01/01/2018 to 31/05/,2018,01/01/2017 to 31/05/,2017,01/01/2018 to 31/05/,2018,01/01/2017 to 31/05/,2017,01/01/2018 to 31/05/,2018,01/01/2017 to 31/05/,2017,01/01/2018 to 31/05/,2018,01/01/2017 to 31/05/,2017,01/01/2018 to 31/05/,2018,01/01/2017 to 31/05/,2017
,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D
MUMBAI,3,,7,,11,2,8,,2,,95,17,138,37,2,4,8,3,165,20,273,7,430,79,227,33,241,22,662,82,948,142
