Mumbai City,TOTAL CASES ON BROTHELS,,,WOMEN RESCUED,,,,,,ACCUSED ARRESTED,,
,,,,MAJOR,,,MINOR,,,,,
,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR,CURRENT MONTH,CURRENT YEAR,PREVIOUS YEAR
,01/05/2018 to 31/05/2018,01/01/2018 to 31/05/2018,01/01/2017 to 31/05/2017,01/05/2018 to 31/05/2018,01/01/2018 to 31/05/2018,01/01/2017 to 31/05/2017,01/05/2018 to 31/05/2018,01/01/2018 to 31/05/2018,01/01/2017 to 31/05/2017,01/05/2018 to 31/05/2018,01/01/2018 to 31/05/2018,01/01/2017 to 31/05/2017
TOTAL,4,21,7,12,65,33,5,5,1,10,32,15
