pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
21.pdf,,No.,,,Mo,nth,Mo,nth,Y,ear,of,Y,ear,of,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,1,Murder Chain Snatc,11,11,15,13,120,116,97,125,120,96,-,5,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,2,Att.to.C.Murder tching,34,30,21,19,240,230,96,198,188,95,+,42,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,3,Dacoity,1,0,2,2,14,13,93,27,26,96,-,13,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,4,Robbery (Excluding hing),65,54,95,88,726,664,91,701,610,87,+,25,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,5,Robbery -Chain Sna,6,2,24,11,121,89,74,112,62,55,+,9,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,6,Extortion,23,15,22,18,176,146,83,172,143,83,+,4,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,7,H.B.T.Day / Night,167,35,190,53,"1,540",674,44,"1,701",769,45,-,161,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,8,Thefts,487,115,484,126,"4,286","1,515",35,"4,637","1,597",34,-,351,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,9,M.V.Thefts.,209,60,226,45,"1,995",814,41,"2,387",903,38,-,392,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,10,Hurt,311,235,318,247,"3,247","2,944",91,"3,859","3,466",90,-,612,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,11,Riots.,35,27,14,9,278,243,87,438,370,84,-,160,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,12,Rape,64,50,69,53,742,661,89,651,594,91,+,91,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,13,Molestaion,195,138,239,161,"1,985","1,632",82,"1,896","1,537",81,+,89,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,14,Other I.P.C.,"1,335",721,"1,632",938,"14,498","9,982",69,"12,126","8,053",66,+,"2,372",01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
21.pdf,,Total,"2,943","1,493","3,351","1,783","29,968","19,723",66,"29,030","18,438",64,+,938,01.09.2019,01.08.2019,2019-09,01.01.2019,01.01.2018,30.09.2019,31.08.2019,30.09.2018,
