pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
95.pdf,,CO,MPAR,ATIVE,BR,IHAN,MUMBA,I,E,,,,,,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,1,Murder,12,12,15,14,48,46,96,37,34,92,+,11,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,2,Att.to.C.Murder,36,33,24,24,104,100,96,129,125,97,-,25,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,3,Dacoity,1,1,0,0,2,2,100,10,10,100,-,8,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,4,Prep.for Dacoity,0,0,0,0,1,1,100,4,4,100,-,3,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,5,Robbery,14,13,28,23,88,84,95,212,202,95,-,124,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,6,Robbery Chain Snatching,11,8,2,0,32,27,84,49,41,84,-,17,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,7,Att.to.C.Robbery,0,0,0,0,5,4,80,3,3,100,+,2,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,8,Extortion,29,22,25,18,100,87,87,87,67,77,+,13,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,9,H.B.T.Day,16,7,11,4,59,37,63,97,55,57,-,38,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,10,H.B.T.Night.,54,24,66,25,267,168,63,328,210,64,-,61,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,11,Thefts.,498,114,465,98,1893,604,32,3614,1065,29,-,1721,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,12,M.V.Thefts.,162,43,177,59,703,348,50,895,478,53,-,192,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,13,Snatching,13,8,19,8,65,47,72,0,0,0,+,65,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,14,Hurt,367,291,464,381,1482,1356,91,1549,1459,94,-,67,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,15,Riots.,38,33,38,31,135,127,94,106,103,97,+,29,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,16,Rape,106,76,92,72,381,330,87,316,280,89,+,65,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,17,Molestation,214,179,246,190,883,807,91,796,723,91,+,87,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,18,Other I.P.C.,2448,1595,2350,1515,9912,7394,75,10554,8071,76,-,642,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
95.pdf,,Total IPC,4019,2459,4022,2462,16160,11569,72,18786,12930,69,-,2626,01.04.2025,01.03.2025,2025-04,01.01.2025,01.01.2024,30.04.2025,30.03.2025,30.04.2024,
