pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
57.pdf,,No.,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,of,-,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,1,Murder,17,16,10,10,69,67,97,93,89,96,-,24,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,2,Att.to.C.Murder,26,24,30,25,135,130,96,204,199,98,-,69,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,3,Dacoity,1,1,0,0,6,6,100,9,6,67,-,3,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,4,Robbery (Excluding Chain S natching),51,89,55,529,412,78,345,304,88,,+,184,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,5,Robbery -Chain Snatching,75,7,22,9,109,78,72,63,37,59,+,46,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,6,Extortion,12,18,29,19,170,109,64,143,114,80,+,27,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,7,H.B.T.Day / Night,45,56,157,48,843,449,53,784,361,46,+,59,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,8,Thefts,134,204,"2,939",189,"10,272","1,416",14,"2,031",768,38,+,"8,241",01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,9,M.V.Thefts.,"2,368",102,308,71,"1,624",742,46,"1,621",645,40,+,3,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,10,Hurt,309,276,498,364,"2,489","2,117",85,"2,207","1,990",90,+,282,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,11,Riots.,396,21,26,20,176,144,82,158,128,81,+,18,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,12,Rape,26,48,95,70,494,417,84,475,369,78,+,19,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,13,Molestation,73,110,268,156,"1,310",967,74,940,698,74,+,370,01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,14,Other I.P.C.,196,"5,566","7,075","6,012","30,643","25,981",85,"34,299","31,290",91,-,"3,656",01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
57.pdf,,Total,"10,292","6,500","11,546","7,048","48,869","33,035",68,"43,372","36,998",85,+,"5,497",01.06.2022,01.05.2022,2022-06,01.01.2022,01.01.2021,30.06.2022,31.05.2022,30.06.2021,
