pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
70.pdf,,No.,,,Mo,n,th,Mo,n,th,,Ye,ar,,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,1,Murder,5,3,16,16,76,73,96,85,81,95,-,9,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,2,Att.to.C.Murder,15,15,19,18,150,148,99,152,147,97,-,2,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,3,Dacoity,1,1,2,2,15,15,100,7,7,100,+,8,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,4,Prep.for Dacoity,0,0,3,3,13,13,100,11,11,100,+,2,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,5,Robbery,55,47,45,36,361,346,96,582,470,81,-,221,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,6,Robbery-Chain Snatching,7,7,14,9,71,65,92,131,97,74,-,60,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,7,Att.to.C.Robbery,1,1,0,0,11,11,100,18,13,72,-,7,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,8,Extortion,23,14,18,12,150,106,71,204,127,62,-,54,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,9,H.B.T.Day,27,13,17,7,134,80,60,149,77,52,-,15,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,10,H.B.T.Night.,107,48,72,28,625,409,65,840,492,59,-,215,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,11,Thefts.,484,164,454,144,"3,359","1,377",41,"11,427","1,804",16,-,"8,068",01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,12,Pocket Picking,4,4,0,0,9,7,78,8,2,25,+,1,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,13,M.V.Thefts.,215,58,240,57,"1,501",789,53,"1,898",897,47,-,397,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,14,Hurt,266,224,351,272,"2,546","2,408",95,"2,788","2,479",89,-,242,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,15,Riots.,19,13,20,17,158,135,85,192,161,84,-,34,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,16,Rape,72,60,64,52,565,528,93,580,514,89,-,15,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,17,Molestation,165,135,183,134,"1,246","1,116",90,"1,429","1,083",76,-,183,01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,18,Other I.P.C.,"2,164","1,498","1,526",887,"12,470","8,529",68,"33,600","28,287",84,-,"21,130",01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
70.pdf,,Total IPC,"3,630","2,305","3,044","1,694","23,460","16,155",69,"54,101","36,749",68,-,"30,641",01.07.2023,01.06.2023,2023-07,01.01.2023,01.01.2022,31.07.2023,30.06.2023,31.07.2022,
