pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
30.pdf,,Sr.,Crime,Head,s,Cur,rent,Prev,iou,s,,Cur,rent,%,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,,No.,,,,Mo,nth,Mo,nth,0,,Ye,ar,of,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,1,Murder g Ch ain Snatc,10,10,8,4,7,5,58,53,91,63,-,5,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,2,Att.to.C.Murder atchi ng,19,17,11,8,122,116,95,125,119,95,-,3,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,3,Dacoity,1,1,0,0,5,4,80,8,8,100,-,3,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,4,Robbery (Excludin hing),10,3,17,12,247,206,83,393,337,86,-,146,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,5,Robbery -Chain Sn,2,2,0,0,44,34,77,64,34,53,-,20,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,6,Extortion,4,2,4,4,84,74,88,90,64,71,-,6,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,7,H.B.T.Day / Night,49,9,66,20,559,231,41,796,314,39,-,237,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,8,Thefts,51,7,34,2,"1,383",416,30,"2,271",782,34,-,888,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,9,M.V.Thefts.,158,3,84,7,883,220,25,"1,066",373,35,-,183,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,10,Hurt,252,110,134,74,"1,466","1,122",77,"1,862","1,639",88,-,396,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,11,Riots.,24,15,14,6,132,94,71,172,143,83,-,40,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,12,Rape,19,12,17,6,276,220,80,401,345,86,-,125,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,13,Molestaion,56,26,36,12,797,594,75,"1,108",859,78,-,311,01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,14,Other I.P.C.,"1,877","1,611","5,278",",95","12,994","10,671",82,"7,708","5,208",68,+,"5,286",01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
30.pdf,,Total,"2,532","1,828","5,703",5,",11",3,"19,050","14,055",74,"16,127",+,"2,923",01.05.2020,01.04.2020,2020-05,01.01.2020,01.01.2019,31.05.2020,30.04.2020,31.05.2019,
