pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
11.pdf,,No.,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,of,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,1,Murder atchin,11,8,14,13,152,145,95,120,118,98,+,32,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,2,Att.to.C.Murder,27,26,29,28,254,248,98,183,175,96,+,71,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,3,Dacoity,1,1,2,2,31,30,97,27,27,100,+,4,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,4,Robbery (Excluding Chain Sn g),82,61,85,66,866,765,88,766,636,83,+,100,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,5,Robbery -Chain Snatching,20,8,26,9,158,95,60,157,105,67,+,1,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,6,Extortion,21,18,21,15,214,182,85,174,145,83,+,40,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,7,H.B.T.Day / Night,195,49,176,54,"2,073","1,001",48,"2,203",950,43,-,130,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,8,Thefts,513,116,568,119,"5,717","2,023",35,"6,061","1,928",32,-,344,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,9,M.V.Thefts.,266,35,306,49,"2,960","1,167",39,"2,636",818,31,+,324,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,10,Hurt,460,358,542,398,"4,858","4,409",91,"4,328","3,839",89,+,530,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,11,Riots.,29,22,47,36,517,440,85,403,341,85,+,114,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,12,Rape,66,53,66,51,810,756,93,680,612,90,+,130,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,13,Molestaion,219,141,284,191,"2,401","1,947",81,"2,046","1,667",81,+,355,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,14,Other I.P.C.,"2,208","1,601","1,986","1,321","16,293","11,604",71,"15,838","10,992",69,+,455,01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
11.pdf,,Total,"4,118","2,497","4,152","2,352","37,304","24,812",67,"35,622","22,353",63,+,"1,682",01.11.2018,01.10.2018,2018-11,01.01.2018,01.01.2017,30.11.2018,31.10.2018,30.11.2017,
