pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
66.pdf,,No,,,,,,T,o,,,T,o,,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,1,Murder,7,6,10,9,27,26,96,29,29,100,-,2,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,2,Att.to.C.Murder,30,29,24,21,72,69,96,52,50,96,+,20,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,3,Dacoity,3,2,1,0,8,6,75,5,5,100,+,3,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,4,Prep.for Dacoity,2,2,1,1,6,6,100,7,7,100,-,1,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,5,Robbery,57,52,51,44,166,157,95,211,164,78,-,45,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,6,Robbery-Chain Snatching,12,9,7,6,28,25,89,59,31,53,-,31,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,7,Att.to.C.Robbery,3,3,2,2,7,7,100,6,4,67,+,1,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,8,Extortion,30,13,21,11,69,43,62,58,38,66,+,11,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,9,H.B.T.Day,19,7,17,6,56,29,52,62,26,42,-,6,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,10,H.B.T.Night.,62,28,93,36,250,151,60,333,167,50,-,83,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,11,Thefts.,520,139,427,123,"1,466",505,34,"1,533",458,30,-,67,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,12,Pocket Picking,2,1,0,0,5,3,60,3,1,33,+,2,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,13,M.V.Thefts.,205,56,193,71,637,296,46,721,254,35,-,84,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,14,Hurt,439,324,365,251,"1,155",955,83,"1,114",912,82,+,41,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,15,Riots.,32,22,24,15,83,64,77,75,57,76,+,8,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,16,Rape,90,72,60,43,238,202,85,205,168,82,+,33,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,17,Molestation,189,131,175,131,534,429,80,561,407,73,-,27,01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,18,Other I.P.C.,"1,800",921,"1,522",724,"4,860","2,719",56,"8,570","6,667",78,-,"3,710",01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
66.pdf,,Total IPC,"3,502","1,817","2,993","1,494","9,667","5,692",59,"13,604","9,445",69,-,"3,937",01.03.2023,01.02.2023,2023-03,01.01.2023,01.01.2022,31.03.2023,28.02.2023,31.03.2022,
