pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
76.pdf,,No,,,,,T,o,,,T,o,,,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,1,Murder,10,9,8,8,123,118,96,133,129,97,-,10,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,2,Att.to.C.Murder,16,15,41,35,292,290,99,244,239,98,+,48,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,3,Dacoity,2,2,2,2,25,24,96,20,20,100,+,5,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,4,Prep.for Dacoity,0,0,0,0,23,23,100,14,14,100,+,9,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,5,Robbery,55,47,45,40,642,628,98,846,727,86,-,204,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,6,Robbery-Chain Snatching,4,2,7,7,116,111,96,190,158,83,-,74,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,7,Att.to.C.Robbery,4,1,3,3,20,17,85,26,23,88,-,6,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,8,Extortion,29,23,17,9,258,208,81,308,205,67,-,50,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,9,H.B.T.Day,19,4,15,10,228,151,66,245,133,54,-,17,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,10,H.B.T.Night.,81,27,85,28,"1,073",757,71,"1,375",837,61,-,302,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,11,Thefts.,554,182,662,173,"6,675","2,835",42,"14,805","3,244",22,-,"8,130",01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,12,Pocket Picking,1,0,1,1,14,11,79,13,5,38,+,1,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,13,M.V.Thefts.,227,52,229,66,"2,671","1,564",59,"3,058","1,588",52,-,387,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,14,Hurt,390,331,428,351,"4,441","4,306",97,"4,633","4,230",91,-,192,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,15,Riots.,17,15,29,26,292,285,98,289,260,90,+,3,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,16,Rape,80,61,53,42,973,933,96,984,912,93,-,11,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,17,Molestation,197,175,184,143,"2,163","2,054",95,"2,349","1,957",83,-,186,01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,18,Other I.P.C.,"3,615","3,029","2,585","1,929","25,840","20,676",80,"40,835","33,185",81,-,"14,995",01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
76.pdf,,Total IPC,"5,301","3,975","4,394","2,873","45,869","34,991",76,"70,367","47,866",68,-,"24,498",01.12.2023,01.10.2023,2023-12,01.01.2023,01.01.2022,31.12.2023,30.11.2023,31.12.2022,
