pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
56.pdf,,Sr.,Crime Hea,ds,,Cur,rent,Prev,ious,Cur,rent,%,Prev,ious,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,,No.,,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,1,Murder Cha in Sna,10,10,12,11,51,49,96,73,69,95,-,22,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,2,Att.to.C.Murder chin g,30,25,28,24,110,102,93,169,161,95,-,59,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,3,Dacoity,0,0,0,0,5,5,100,8,6,75,-,3,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,4,Robbery (Excluding tching)89,55,153,83,455,337,74,300,265,88,,+,155,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,5,Robbery -Chain Snat,22,9,16,7,97,60,62,48,30,63,+,49,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,6,Extortion,29,19,35,18,125,85,68,120,91,76,+,5,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,7,H.B.T.Day / Night,157,48,160,51,709,353,50,641,294,46,+,68,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,8,Thefts,"2,939",189,"3,422",186,"7,901","1,043",13,"1,690",632,37,+,"6,211",01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,9,M.V.Thefts.,308,71,287,60,"1,315",534,41,"1,345",509,38,-,30,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,10,Hurt,498,364,485,319,"2,098","1,755",84,"1,874","1,627",87,+,224,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,11,Riots.,26,20,45,32,149,118,79,138,114,83,+,11,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,12,Rape,95,70,88,52,405,341,84,395,295,75,+,10,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,13,Molestation,268,156,277,154,"1,106",800,72,660,492,75,+,446,01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,14,Other I.P.C.,"7,075","6,012","8,429","7,182","24,055","20,207",84,"26,824","24,247",90,-,"2,769",01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
56.pdf,,Total,"11,546","7,048","13,437","8,179","38,581","25,789",67,"34,285","28,832",84,+,"4,296",01.05.2022,01.04.2022,2022-05,01.01.2022,01.01.2021,31.05.2022,30.04.2022,31.05.2021,
