pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
94.pdf,,CO,MPAR,ATIVE,BR,IHAN,MUMBA,I,E,,,,,,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,1,Murder,15,14,10,9,34,31,91,27,26,96,+,7,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,2,Att.to.C.Murder,24,24,20,19,69,67,97,87,85,98,-,18,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,3,Dacoity,0,0,0,0,2,2,100,5,5,100,-,3,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,4,Prep.for Dacoity,0,0,0,0,1,1,100,4,4,100,-,3,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,5,Robbery,28,23,14,14,74,68,92,163,155,95,-,89,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,6,Robbery Chain Snatching,2,0,2,2,21,16,76,35,30,86,-,14,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,7,Att.to.C.Robbery,0,0,1,1,5,4,80,3,3,100,+,2,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,8,Extortion,25,18,19,11,69,55,80,66,49,74,+,3,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,9,H.B.T.Day,11,4,16,5,43,24,56,77,40,52,-,34,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,10,H.B.T.Night.,66,25,60,21,214,125,58,258,159,62,-,44,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,11,Thefts.,465,98,438,118,1397,442,32,2793,790,28,-,1396,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,12,M.V.Thefts.,177,59,181,55,540,239,44,655,333,51,-,115,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,13,Snatching,19,8,13,5,52,31,60,0,0,0,+,52,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,14,Hurt,464,381,322,249,1120,982,88,1158,1062,92,-,38,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,15,Riots.,38,31,34,28,96,84,88,84,78,93,+,12,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,16,Rape,92,72,78,57,266,223,84,225,201,89,+,41,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,17,Molestation,246,190,190,157,669,591,88,585,515,88,+,84,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,18,Other I.P.C.,2350,1515,2414,1662,7469,5474,73,8167,6221,76,-,698,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
94.pdf,,Total IPC,4022,2462,3812,2413,12141,8459,70,14392,9756,68,-,2251,01.03.2025,01.02.2025,2025-03,01.01.2025,01.01.2024,31.03.2025,28.02.2025,31.03.2024,
