pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
63.pdf,,Sr.,Crime H,eads,,Cur,rent,Prev,ious,Cur,rent,%,Prev,ious,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,,No.,,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,1,Murder g Cha in Sna,11,10,6,6,133,129,97,162,160,99,-,29,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,2,Att.to.C.Murder atchi ng,17,15,15,15,244,239,98,349,340,97,-,105,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,3,Dacoity,0,0,1,1,20,20,100,16,16,100,+,4,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,4,Robbery (Excludin tching)46,38,56,46,846,727,86,712,649,91,,+,134,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,5,Robbery -Chain Sn,8,7,9,4,190,158,83,149,120,81,+,41,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,6,Extortion,22,12,17,8,308,205,67,280,229,82,+,28,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,7,H.B.T.Day / Night,97,35,113,38,"1,620",970,60,"1,683",935,56,-,63,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,8,Thefts,602,142,535,114,"14,818","3,249",22,"4,534","1,870",41,+,"10,284",01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,9,M.V.Thefts.,256,68,203,57,"3,058","1,588",52,"3,282","1,599",49,-,224,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,10,Hurt,395,286,304,207,"4,633","4,230",91,"4,262","3,971",93,+,371,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,11,Riots.,22,12,25,18,289,260,90,318,285,90,-,29,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,12,Rape,92,72,65,43,984,912,93,888,793,89,+,96,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,13,Molestation,221,168,190,130,"2,349","1,957",83,"2,076","1,751",84,+,273,01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,14,Other I.P.C.,"1,805",982,"1,515",744,"40,875","33,222",81,"45,945","40,475",88,-,"5,070",01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
63.pdf,,Total,"3,594","1,847","3,054","1,431","70,367","47,866",68,"64,656","53,193",82,+,"5,711",01.12.2022,01.11.2022,2022-12,01.01.2022,01.01.2021,31.12.2022,30.11.2022,31.12.2021,
