pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
51.pdf,,No.,,,Month,Mo,nth,Ye,ar,of,Ye,ar,of,,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,1,Murder Chain Snatc,10,10,12,12,162,160,99,148,141,95,+,14,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,2,Att.to.C.Murder tching,17,15,24,20,349,340,97,348,335,96,+,1,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,3,Dacoity,2,2,1,1,16,16,100,15,14,93,+,1,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,4,Robbery (Excluding hing),60,43,57,47,749,684,91,614,531,86,+,135,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,5,Robbery -Chain Sna,8,3,18,5,149,120,81,138,104,75,+,11,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,6,Extortion,27,21,20,13,280,229,82,204,179,88,+,76,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,7,H.B.T.Day / Night,120,40,139,43,"1,683",935,56,"1,645",811,49,+,38,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,8,Thefts,437,129,380,108,"4,534","1,870",41,"3,433","1,195",35,+,"1,101",01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,9,M.V.Thefts.,270,59,236,58,"3,282","1,599",49,"2,801","1,085",39,+,481,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,10,Hurt,282,198,421,320,"4,262","3,971",93,"3,808","3,407",89,+,454,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,11,Riots.,19,17,27,25,318,285,90,324,268,83,-,6,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,12,Rape,55,40,58,43,888,793,89,767,658,86,+,121,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,13,Molestation,153,108,194,144,"2,076","1,751",84,"1,945","1,592",82,+,131,01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,14,Other I.P.C.,"1,702","1,000","1,190",594,"45,908","40,440",88,"34,878","30,070",86,+,"11,030",01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
51.pdf,,Total,"3,162","1,685","2,777","1,433","64,656","53,193",82,"51,068","40,390",79,+,"13,588",01.12.2021,01.11.2021,2021-12,01.01.2021,01.01.2020,31.12.2021,30.11.2021,31.12.2020,
