pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
72.pdf,,No.,,,Mo,n,th,Mo,nth,,Ye,ar,,of,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,1,Murder,5,3,9,9,91,86,95,101,99,98,-,10,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,2,Att.to.C.Murder,28,27,29,29,208,205,99,190,181,95,+,18,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,3,Dacoity,2,2,3,2,21,19,90,14,14,100,+,7,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,4,Prep.for Dacoity,4,4,5,5,22,22,100,13,13,100,+,9,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,5,Robbery,61,57,63,58,484,474,98,695,575,83,-,211,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,6,Robbery-Chain Snatching,9,8,7,6,87,83,95,159,121,76,-,72,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,7,Att.to.C.Robbery,0,0,2,2,13,13,100,21,16,76,-,8,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,8,Extortion,21,11,24,19,195,143,73,253,161,64,-,58,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,9,H.B.T.Day,20,7,21,11,173,107,62,192,97,51,-,19,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,10,H.B.T.Night.,94,33,92,49,813,550,68,"1,098",644,59,-,285,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,11,Thefts.,806,207,603,183,"4,770","1,919",40,"12,996","2,462",19,-,"8,226",01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,12,Pocket Picking,2,2,1,1,12,10,83,9,4,44,+,3,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,13,M.V.Thefts.,200,43,252,70,"1,951","1,083",56,"2,373","1,172",49,-,422,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,14,Hurt,318,262,324,268,"3,187","3,053",96,"3,490","3,110",89,-,303,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,15,Riots.,26,21,19,15,203,191,94,225,196,87,-,22,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,16,Rape,60,43,78,64,723,682,94,728,655,90,-,5,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,17,Molestation,163,131,163,130,"1,572","1,455",93,"1,767","1,395",79,-,195,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,18,Other I.P.C.,"2,338","1,714","2,362","1,645","17,151","12,550",73,"36,189","29,868",83,-,"19,038",01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
72.pdf,,Total IPC,"4,157","2,575","4,057","2,566","31,676","22,645",71,"60,513","40,783",67,,,01.09.2023,01.08.2023,2023-09,01.01.2023,01.01.2022,30.09.2023,31.08.2023,30.09.2022,
