pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
93.pdf,,CO,MPAR,ATIVE,BR,IHAN,MUMBA,I,E,,,,,,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,1,Murder,10,9,9,8,19,17,89,17,17,100,+,2,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,2,Att.to.C.Murder,20,19,24,21,45,43,96,54,52,96,-,9,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,3,Dacoity,0,0,1,1,2,2,100,4,4,100,-,2,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,4,Prep.for Dacoity,0,0,1,1,1,1,100,3,3,100,-,2,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,5,Robbery,14,14,34,30,46,45,98,102,94,92,-,56,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,6,Robbery Chain Snatching,2,2,16,9,19,15,79,24,18,75,-,5,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,7,Att.to.C.Robbery,1,1,4,3,5,4,80,3,3,100,+,2,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,8,Extortion,19,11,25,15,44,30,68,44,36,82,+,0,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,9,H.B.T.Day,16,5,19,6,35,17,49,46,26,57,-,11,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,10,H.B.T.Night.,60,21,86,46,146,78,53,158,96,61,-,12,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,11,Thefts.,438,118,493,144,932,296,32,1852,484,26,-,920,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,12,M.V.Thefts.,181,55,182,57,363,140,39,434,181,42,-,71,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,13,Snatching,13,5,20,7,33,16,48,0,0,0,+,33,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,14,Hurt,322,249,336,276,657,555,84,665,589,89,-,8,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,15,Riots.,34,28,24,20,58,50,86,43,39,91,+,15,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,16,Rape,78,57,80,59,168,135,80,135,112,83,+,33,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,17,Molestation,190,157,229,182,421,368,87,353,310,88,+,68,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,18,Other I.P.C.,2414,1662,2700,1920,5114,3739,73,5702,4365,77,-,588,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
93.pdf,,Total IPC,3812,2413,4283,2805,8108,5551,68,9639,6429,67,-,1531,01.02.2025,01.01.2025,2025-02,01.01.2024,28.02.2025,31.01.2025,29.02.2024,,
