pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
47.pdf,,Sr.,Crime H,eads,Curr,ent,Prev,ious,Cur,rent,%,Prev,ious,%,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,,No.,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,of,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,1,Murder Chain Sna,8,7,6,5,118,114,97,107,102,95,+,11,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,2,Att.to.C.Murder tching,22,19,24,22,286,277,97,227,218,96,+,59,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,3,Dacoity,1,1,0,0,12,12,100,11,10,91,+,1,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,4,Robbery (Excluding tching),80,63,66,55,557,509,91,409,348,85,+,148,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,5,Robbery -Chain Sna,11,6,15,3,108,77,71,92,57,62,+,16,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,6,Extortion,14,10,19,13,212,167,79,137,115,84,+,75,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,7,H.B.T.Day / Night,145,62,172,55,"1,273",665,52,"1,186",535,45,+,87,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,8,Thefts,423,107,445,111,"3,286","1,245",38,"2,282",743,33,+,"1,004",01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,9,M.V.Thefts.,262,67,301,61,"2,462","1,082",44,"1,902",595,31,+,560,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,10,Hurt,310,251,337,259,"3,157","2,893",92,"2,564","2,209",86,+,593,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,11,Riots.,27,19,35,20,243,204,84,213,165,77,+,30,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,12,Rape,66,50,59,44,695,593,85,527,430,82,+,168,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,13,Molestation,215,150,156,100,"1,488","1,197",80,"1,313","1,008",77,+,175,01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,14,Other I.P.C.,"1,434",820,"1,900","1,206","41,700","37,308",89,"29,624","25,651",87,+,"12,076",01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
47.pdf,,Total,"3,018","1,632","3,535","1,954","55,597","46,343",83,"40,594","32,186",79,+,"15,003",01.09.2021,01.08.2021,2021-09,01.01.2021,01.01.2020,30.09.2021,31.08.2021,30.09.2020,
