pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
91.pdf,,CO,MPAR,ATIVE,BR,IHAN,MUMBA,I,E,,,,,,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,1,Murder,6,6,13,11,107,103,96,123,118,96,-,16,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,2,Att.to.C.Murder,19,18,16,14,303,298,98,292,290,99,+,11,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,3,Dacoity,0,0,0,0,16,16,100,25,24,96,-,9,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,4,Prep.for Dacoity,0,0,1,1,10,10,100,23,23,100,-,13,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,5,Robbery,26,22,21,15,474,455,96,642,628,98,-,168,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,6,Robbery Chain Snatching,6,2,7,5,116,104,90,116,111,96,+,0,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,7,Att.to.C.Robbery,0,0,1,1,19,19,100,20,17,85,-,1,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,8,Extortion,18,14,12,7,199,177,89,258,207,80,-,59,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,9,H.B.T.Day,19,10,12,4,237,139,59,228,151,66,+,9,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,10,H.B.T.Night.,87,34,70,20,1070,639,60,1073,757,71,-,3,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,11,Thefts.,460,114,377,91,8262,2741,33,6689,2846,43,+,1573,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,12,M.V.Thefts.,203,56,208,45,2589,1450,56,2671,1564,59,-,82,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,13,Snatching,14,3,12,1,117,69,59,0,0,0,+,117,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,14,Hurt,359,292,325,248,4362,4180,96,4441,4306,97,-,79,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,15,Riots.,24,18,34,23,323,309,96,292,285,98,+,31,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,16,Rape,75,49,82,57,1051,983,94,973,933,96,+,78,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,17,Molestation,180,145,153,121,2397,2268,95,2163,2055,95,+,234,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,18,Other I.P.C.,2876,2192,1741,1144,31066,24864,80,25838,20674,80,+,5228,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
91.pdf,,Total IPC,4372,2975,3085,1808,52718,38824,74,45867,34989,76,+,6851,01.12.2024,01.11.2024,2024-12,01.01.2024,01.01.2023,31.12.2024,30.11.2024,31.12.2023,
