pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
45.pdf,,Sr.,Crime H,eads,Cur,rent,Prev,ious,Cur,rent,%,Prev,ious,%,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,,No.,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,of,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,1,Murder Chain Sna,9,9,19,18,103,100,97,82,76,93,,,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,2,Att.to.C.Murder tching,32,28,35,35,237,229,97,179,166,93,+,58,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,3,Dacoity,3,2,1,0,12,8,67,8,6,75,+,4,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,4,Robbery (Excluding tching),66,58,44,34,411,373,91,302,254,84,+,109,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,5,Robbery -Chain Sna,19,6,15,4,82,54,66,61,40,66,+,21,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,6,Extortion,36,21,22,16,179,136,76,105,87,83,+,74,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,7,H.B.T.Day / Night,173,54,141,39,957,460,48,840,353,42,+,117,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,8,Thefts,388,93,342,91,"2,419",912,38,"1,719",519,30,+,700,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,9,M.V.Thefts.,275,60,276,63,"1,898",791,42,"1,359",390,29,+,539,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,10,Hurt,313,250,323,264,"2,518","2,294",91,"1,987","1,642",83,+,531,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,11,Riots.,23,18,29,20,181,155,86,171,120,70,+,10,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,12,Rape,58,35,66,44,550,445,81,377,299,79,+,173,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,13,Molestaion,152,95,146,89,"1,100",860,78,985,733,74,+,115,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,14,Other I.P.C.,"4,079","3,438","7,598","6,925","38,390","34,915",91,"25,499","22,249",87,,,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
45.pdf,,Total,"5,626","4,167","9,057","7,642","49,037","41,732",85,"33,674","26,934",80,,,01.07.2021,01.06.2021,2021-07,01.01.2021,01.01.2020,31.07.2021,30.06.2021,31.07.2020,
