pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
19.pdf,,Sr.,Crime,Head,s,Cur,rent,Pre,vious,Cur,rent,%,Prev,ious,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,,No.,,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,1,Murder g Ch ain Snatc,14,14,15,13,94,92,98,98,91,93,-,4,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,2,Att.to.C.Murder atchi ng,37,36,25,24,186,180,97,146,140,96,+,40,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,3,Dacoity,0,0,2,1,10,9,90,24,23,96,-,14,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,4,Robbery (Excludin hing),88,81,85,63,565,506,90,541,453,84,+,24,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,5,Robbery -Chain Sn,12,5,15,8,91,59,65,74,39,53,+,17,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,6,Extortion,26,22,16,11,131,103,79,127,104,82,+,4,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,7,H.B.T.Day / Night,203,38,185,52,"1,182",475,40,"1,289",551,43,-,107,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,8,Thefts,541,121,502,102,"3,315","1,142",34,"3,628","1,199",33,-,313,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,9,M.V.Thefts.,265,36,229,47,"1,560",567,36,"1,899",673,35,-,339,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,10,Hurt,307,233,453,323,"2,620","2,333",89,"3,010","2,669",89,-,390,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,11,Riots.,19,14,39,32,230,200,87,352,285,81,-,122,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,12,Rape,68,42,91,63,583,504,86,505,454,90,+,78,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,13,Molestaion,203,143,237,153,"1,546","1,241",80,"1,463","1,149",79,+,83,01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,14,Other I.P.C.,"1,966","1,099","1,903","1,054","11,560","7,810",68,"9,517","6,120",64,+,"2,043",01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
19.pdf,,Total,"3,749","1,884","3,797","1,946","23,673","15,221",64,"22,673","13,950",62,+,"1,000",01.07.2019,01.01.2019,2019-07,01.01.2018,31.07.2019,30.06.2019,31.07.2018,,
