pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
54.pdf,,Sr.,Crime Hea,ds,Cu,rrent,Pre,vious,Cur,rent,%,Prev,ious,%,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,,No.,,,M,onth,Mo,nth,Ye,ar,of,Ye,ar,of,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,1,Murder Chain Sn,8,8,13,12,29,29,100,43,41,95,-,14,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,2,Att.to.C.Murder ching,21,20,18,14,52,50,96,100,95,95,-,48,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,3,Dacoity,1,1,1,1,5,5,100,6,4,67,-,1,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,4,Robbery (Excluding atching9)5,58,56,41,217,168,77,206,179,87,,+,11,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,5,Robbery -Chain Snat,29,12,21,11,59,31,53,38,22,58,+,21,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,6,Extortion,22,11,18,12,58,38,66,87,64,74,-,29,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,7,H.B.T.Day / Night,153,59,123,62,395,193,49,443,184,42,-,48,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,8,Thefts,862,145,347,124,"1,536",459,30,"1,129",393,35,+,407,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,9,M.V.Thefts.,285,79,194,42,721,254,35,901,299,33,-,180,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,10,Hurt,506,362,291,224,"1,114",912,82,"1,134",963,85,-,20,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,11,Riots.,36,27,22,13,75,57,76,78,56,72,-,3,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,12,Rape,79,57,56,42,205,168,82,233,171,73,-,28,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,13,Molestation,250,152,167,118,561,407,73,522,380,73,+,39,01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,14,Other I.P.C.,"5,901","5,004","1,404",820,"8,577","6,674",78,"5,255","3,479",66,+,"3,322",01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
54.pdf,,Total,"8,248","5,995","2,731","1,536","13,604","9,445",69,"10,175","6,330",62,+,"3,429",01.03.2022,01.02.2022,2022-03,01.01.2022,01.01.2021,31.03.2022,28.02.2022,31.03.2021,
