pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
29.pdf,,Sr.,Crime H,ea,ds,Cur,ren,t,Pre,vious,Cur,rent,%,Prev,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,,No.,,,,Mo,nth,20,Mo,nth,Ye,ar,of,Ye,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,1,Murder Ch ain Snatc,8,4,7,12,10,47,42,89,54,52,-,7,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,2,Att.to.C.Murder tch ing,11,8,27,25,104,98,94,103,98,95,+,1,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,3,Dacoity,0,0,1,0,4,3,75,6,6,100,-,2,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,4,Robbery (Excluding hing),17,12,55,47,237,201,85,331,288,87,-,94,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,5,Robbery -Chain Sna,0,0,14,9,42,32,76,51,30,59,-,9,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,6,Extortion,4,4,13,9,80,72,90,73,54,74,+,7,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,7,H.B.T.Day / Night,66,20,110,33,510,222,44,635,256,40,-,125,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,8,Thefts,34,2,301,81,"1,332",407,31,"1,760",625,36,-,428,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,9,M.V.Thefts.,84,7,193,35,725,214,30,853,296,35,-,128,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,10,Hurt,134,74,324,234,"1,214","1,003",83,"1,472","1,279",87,-,258,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,11,Riots.,14,6,42,28,108,77,71,140,114,81,-,32,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,12,Rape,17,6,73,58,256,206,80,303,254,84,-,47,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,13,Molestaion,36,12,235,161,741,569,77,904,688,76,-,163,01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,14,"Other I.P.C. 5,278 ,955","2,260","1,731","11,118","9,013",81,"6,335","4,312",68,,,+,"4,783",01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
29.pdf,,Total,"5,703",5,",113","3,660","2,461","16,518","12,159",74,"13,020","8,352",+,"3,498",01.04.2020,01.03.2020,2020-04,01.01.2020,01.01.2019,30.04.2020,31.03.2020,30.04.2019,
