pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
22.pdf,,No.,,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,1,Murder Snat ching),17,12,11,11,137,128,93,140,134,96,-,3,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,2,Att.to.C.Murder,36,34,34,30,278,266,96,227,220,97,+,51,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,3,Dacoity,1,1,1,0,15,14,93,30,29,97,-,15,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,4,Robbery (Excluding Chain,81,64,65,54,807,735,91,784,687,88,+,23,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,5,Robbery -Chain Snatching,9,1,6,2,130,100,77,138,81,59,-,8,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,6,Extortion,16,11,23,15,192,161,84,193,160,83,-,1,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,7,H.B.T.Day / Night,159,42,167,35,"1,699",764,45,"1,877",895,48,-,178,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,8,Thefts,530,95,487,115,"4,816","1,667",35,"5,205","1,814",35,-,389,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,9,M.V.Thefts.,219,39,209,60,"2,214",906,41,"2,694","1,054",39,-,480,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,10,Hurt,390,274,311,235,"3,635","3,284",90,"4,400","3,960",90,-,765,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,11,Riots.,38,24,35,27,316,273,86,486,412,85,-,170,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,12,Rape,69,47,64,50,821,726,88,730,674,92,+,91,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,13,Molestaion,191,131,195,138,"2,175","1,794",82,"2,182","1,769",81,-,7,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,14,Other I.P.C.,"1,393",678,"1,335",721,"15,882","10,841",68,"14,096","9,741",69,+,"1,786",01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
22.pdf,,Total,"3,149","1,453","2,943","1,493","33,117","21,659",65,"33,182","21,630",65,-,65,01.10.2019,01.09.2019,2019-10,01.01.2019,01.01.2018,31.10.2019,30.09.2019,31.10.2018,
