pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
23.pdf,,Sr.,Crime,Head,s,Cur,rent,Prev,ious,Cur,rent,%,Prev,ious,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,,No.,,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,1,Murder g Ch ain Snatc,11,10,17,12,150,141,94,152,145,95,-,2,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,2,Att.to.C.Murder atchi ng,27,24,36,34,306,295,96,254,248,98,+,52,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,3,Dacoity,3,3,1,1,18,17,94,31,30,97,-,13,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,4,Robbery (Excludin hing),85,66,81,64,891,811,91,866,765,88,+,25,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,5,Robbery -Chain Sn,9,6,9,1,139,112,81,158,95,60,-,19,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,6,Extortion,29,19,16,11,221,185,84,214,182,85,+,7,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,7,H.B.T.Day / Night,190,59,159,42,"1,889",863,46,"2,073","1,001",48,-,184,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,8,Thefts,532,96,530,95,"5,347","1,837",34,"5,717","2,023",35,-,370,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,9,M.V.Thefts.,224,39,219,39,"2,438","1,004",41,"2,960","1,167",39,-,522,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,10,Hurt,369,279,390,274,"4,004","3,653",91,"4,858","4,409",91,-,854,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,11,Riots.,26,15,38,24,342,292,85,517,440,85,-,175,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,12,Rape,70,48,69,47,913,816,89,810,756,93,+,103,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,13,Molestaion,218,156,191,131,"2,393","1,995",83,"2,401","1,947",81,-,8,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,14,Other I.P.C.,"1,662",865,"1,393",678,"17,521","11,974",68,"16,293","11,604",71,+,"1,228",01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
23.pdf,,Total,"3,455","1,685","3,149","1,453","36,572","23,995",66,"37,304","24,812",67,-,732,01.11.2019,01.10.2019,2019-11,01.01.2019,01.01.2018,30.11.2019,31.10.2019,30.11.2018,
