pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
37.pdf,,Sr.,Crime H,ead,s,Cur,rent,Prev,ious,Cur,rent,%,Prev,ious,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,,No.,,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,1,Murder Ch ain Snat,11,10,12,11,148,141,95,165,158,96,-,17,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,2,Att.to.C.Murder tchi ng,25,23,38,33,348,335,96,343,334,97,+,5,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,3,Dacoity,1,1,0,0,15,14,93,21,21,100,-,6,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,4,Robbery (Excluding ching),56,42,79,60,614,531,86,988,896,91,-,374,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,5,Robbery -Chain Sna,10,3,20,9,138,104,75,156,128,82,-,18,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,6,Extortion,26,20,22,20,204,179,88,253,218,86,-,49,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,7,H.B.T.Day / Night,147,45,152,37,"1,645",811,49,"2,058",965,47,-,413,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,8,Thefts,398,86,360,82,"3,433","1,195",35,"5,888","2,126",36,-,"2,455",01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,9,M.V.Thefts.,286,53,294,59,"2,801","1,085",39,"2,693","1,157",43,+,108,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,10,Hurt,346,263,442,319,"3,808","3,407",89,"4,372","4,076",93,-,564,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,11,Riots.,32,20,42,29,324,268,83,375,330,88,-,51,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,12,Rape,62,45,65,42,767,658,86,"1,015",931,92,-,248,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,13,Molestaion,171,118,224,158,"1,945","1,592",82,"2,678","2,277",85,-,733,01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,14,Other I.P.C.,"1,742","1,130","1,508",863,"34,878","30,070",86,"20,926","15,185",73,+,"13,952",01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
37.pdf,,Total,"3,313","1,859","3,258","1,722","51,068","40,390",79,"41,931","28,802",69,+,"9,137",01.12.2020,01.11.2020,2020-12,01.01.2020,01.01.2019,31.12.2020,30.11.2020,31.12.2019,
